metric_desc,metric_val_30,metric_val_25,metric_val_20,metric_val_15,metric_val_10,metric_val_5,metric_val_0
unsubscribed:exhibitoropportunityemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:passwordresetemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:sessionnotealertemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:welcomeemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:setupleadscanningcalltoactionemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:beaconmessageinfoemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:beaconmessageinfoemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:sessionnotealertemail:Conference,,,,,0.0000,0.0000,0.0000
unsubscribed:messagealertemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:passwordresetemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:sessionnotealertemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:welcomeemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:exhibitoropportunityemail:Corporate Internal,,,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:dailydigestemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:unknownemail:Expo,,,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:messagealertemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:dailydigestemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:exhibitoropportunityemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:leadsreportemailemail:Corporate External,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:beaconmessageinfoemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:passwordresetemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:sessionnotealertemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
